StationID	LabNumber	DateSampledFormatted	DateSampled	RelativeDepthSample	Parameter	Result	ParameterGroup	HUC	County	EcoRegion	Description	ADEQPlSeg
ARK0020 	48003	9/4/1990 2:20:00 PM	9/4/1990 2:20:00 PM		Chloride (mg/l)	59.24	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	48204	10/2/1990 2:10:00 PM	10/2/1990 2:10:00 PM		Chloride (mg/l)	75.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	48426	10/30/1990 12:45:00 PM	10/30/1990 12:45:00 PM		Chloride (mg/l)	42.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	48651	11/27/1990 12:40:00 PM	11/27/1990 12:40:00 PM		Chloride (mg/l)	57.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	48910	1/1/1991 9:45:00 AM	1/1/1991 9:45:00 AM		Chloride (mg/l)	20.2	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	49174	2/5/1991 12:35:00 PM	2/5/1991 12:35:00 PM		Chloride (mg/l)	12.7	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	49546	3/19/1991 9:16:00 AM	3/19/1991 9:16:00 AM		Chloride (mg/l)	19.7	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	49688	4/2/1991 8:57:00 AM	4/2/1991 8:57:00 AM		Chloride (mg/l)	18.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	49922	4/30/1991 9:52:00 AM	4/30/1991 9:52:00 AM		Chloride (mg/l)	24.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	50250	6/4/1991 12:48:00 PM	6/4/1991 12:48:00 PM		Chloride (mg/l)	57.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	50939	7/15/1991 10:21:00 AM	7/15/1991 10:21:00 AM		Chloride (mg/l)	101.	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	52109	11/19/1991 10:19:00 AM	11/19/1991 10:19:00 AM		Chloride (mg/l)	38.4	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	52451	12/17/1991 12:30:00 PM	12/17/1991 12:30:00 PM		Chloride (mg/l)	2.99	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	52518	1/7/1992 11:18:00 AM	1/7/1992 11:18:00 AM		Chloride (mg/l)	70.9	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	52844	2/4/1992 11:30:00 AM	2/4/1992 11:30:00 AM		Chloride (mg/l)	37.1	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	53127	3/3/1992 10:18:00 AM	3/3/1992 10:18:00 AM		Chloride (mg/l)	96.4	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	53576	4/7/1992 12:21:00 PM	4/7/1992 12:21:00 PM		Chloride (mg/l)	45.2	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	53918	5/12/1992 12:49:00 PM	5/12/1992 12:49:00 PM		Chloride (mg/l)	104.	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	54395	6/16/1992 10:27:00 AM	6/16/1992 10:27:00 AM		Chloride (mg/l)	54.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	54634	7/7/1992 11:55:00 AM	7/7/1992 11:55:00 AM		Chloride (mg/l)	105.	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	55039	8/4/1992 12:45:00 PM	8/4/1992 12:45:00 PM		Chloride (mg/l)	R	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	55590	9/1/1992 12:30:00 PM	9/1/1992 12:30:00 PM		Chloride (mg/l)	70.2	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	55862	9/29/1992 12:50:00 PM	9/29/1992 12:50:00 PM		Chloride (mg/l)	88.8	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	56211	10/27/1992 12:40:00 PM	10/27/1992 12:40:00 PM		Chloride (mg/l)	75.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	56544	11/23/1992 12:30:00 PM	11/23/1992 12:30:00 PM		Chloride (mg/l)	68.8	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	56917	1/5/1993 11:30:00 AM	1/5/1993 11:30:00 AM		Chloride (mg/l)	41.0	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	57192	2/2/1993 1:45:00 PM	2/2/1993 1:45:00 PM		Chloride (mg/l)	37.0	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	57790	3/23/1993 12:30:00 PM	3/23/1993 12:30:00 PM		Chloride (mg/l)	84.2	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58194	4/27/1993 12:10:00 PM	4/27/1993 12:10:00 PM		Chloride (mg/l)	45.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58651	5/25/1993 12:15:00 PM	5/25/1993 12:15:00 PM		Chloride (mg/l)	52.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58986	6/29/1993 1:10:00 PM	6/29/1993 1:10:00 PM		Chloride (mg/l)	47.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	59436	7/27/1993 1:05:00 PM	7/27/1993 1:05:00 PM		Chloride (mg/l)	44.1	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	59642	8/17/1993 12:10:00 PM	8/17/1993 12:10:00 PM		Chloride (mg/l)	79.8	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	60199	9/28/1993 12:30:00 PM	9/28/1993 12:30:00 PM		Chloride (mg/l)	69.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	60561	10/25/1993 12:00:00 PM	10/25/1993 12:00:00 PM		Chloride (mg/l)	17.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
