StationID	LabNumber	DateSampledFormatted	DateSampled	RelativeDepthSample	Parameter	Result	ParameterGroup	HUC	County	EcoRegion	Description	ADEQPlSeg
ARK0020 	96929	9/18/2001 2:21:00 PM	9/18/2001 2:21:00 PM		Alkalinity, total (mg/l CaCO3)	109	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	97363	10/30/2001 12:30:00 PM	10/30/2001 12:30:00 PM		Alkalinity, total (mg/l CaCO3)	107.6	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	97733	11/27/2001 2:00:00 PM	11/27/2001 2:00:00 PM		Alkalinity, total (mg/l CaCO3)	111	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	97993	12/18/2001 1:50:00 PM	12/18/2001 1:50:00 PM		Alkalinity, total (mg/l CaCO3)	62.8	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	98212	1/15/2002 10:26:00 AM	1/15/2002 10:26:00 AM		Alkalinity, total (mg/l CaCO3)	41.32	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	98616	2/19/2002 3:16:00 PM	2/19/2002 3:16:00 PM		Alkalinity, total (mg/l CaCO3)	45.5	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	98945	3/19/2002 10:30:00 AM	3/19/2002 10:30:00 AM		Alkalinity, total (mg/l CaCO3)	26.93	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	99412	4/23/2002 2:03:00 PM	4/23/2002 2:03:00 PM		Alkalinity, total (mg/l CaCO3)	53.98	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	100434	6/25/2002 11:40:00 AM	6/25/2002 11:40:00 AM		Alkalinity, total (mg/l CaCO3)	90.2	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	100549	7/9/2002 5:09:00 PM	7/9/2002 5:09:00 PM		Alkalinity, total (mg/l CaCO3)	101.4989	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	100972	8/13/2002 4:35:00 PM	8/13/2002 4:35:00 PM		Alkalinity, total (mg/l CaCO3)	109	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	101333	9/10/2002 11:10:00 AM	9/10/2002 11:10:00 AM		Alkalinity, total (mg/l CaCO3)	115.3	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2002-294	10/22/2002 11:00:00 AM	10/22/2002 11:00:00 AM		Alkalinity, total (mg/l CaCO3)	113.8	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2002-573	11/25/2002 11:29:00 AM	11/25/2002 11:29:00 AM		Alkalinity, total (mg/l CaCO3)	128.6	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2002-773	12/17/2002 11:15:00 AM	12/17/2002 11:15:00 AM		Alkalinity, total (mg/l CaCO3)	109.4	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-213	1/28/2003 2:06:00 PM	1/28/2003 2:06:00 PM		Alkalinity, total (mg/l CaCO3)	73.7	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-360	2/18/2003 11:13:00 AM	2/18/2003 11:13:00 AM		Alkalinity, total (mg/l CaCO3)	80.6	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-630	3/18/2003 6:30:00 PM	3/18/2003 6:30:00 PM		Alkalinity, total (mg/l CaCO3)	60.6	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-888	4/15/2003 1:23:00 PM	4/15/2003 1:23:00 PM		Alkalinity, total (mg/l CaCO3)	134.8	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-1255	5/20/2003 6:01:00 PM	5/20/2003 6:01:00 PM		Alkalinity, total (mg/l CaCO3)	76.8	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-1413	6/3/2003 2:17:00 PM	6/3/2003 2:17:00 PM		Alkalinity, total (mg/l CaCO3)	94.2	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-1731	6/30/2003 4:44:00 PM	6/30/2003 4:44:00 PM		Alkalinity, total (mg/l CaCO3)	84.6	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-2046	8/5/2003 2:48:00 PM	8/5/2003 2:48:00 PM		Alkalinity, total (mg/l CaCO3)	111.5	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2003-2621	10/21/2003 9:52:00 AM	10/21/2003 9:52:00 AM		Alkalinity, total (mg/l CaCO3)	109.4	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2004-0149	1/13/2004 10:55:00 AM	1/13/2004 10:55:00 AM		Alkalinity, total (mg/l CaCO3)	75.5	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2004-0482	2/17/2004 3:55:00 PM	2/17/2004 3:55:00 PM		Alkalinity, total (mg/l CaCO3)	59.2	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2004-0640	3/9/2004 8:05:00 AM	3/9/2004 8:05:00 AM		Alkalinity, total (mg/l CaCO3)	86.8	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	2004-1019	4/20/2004 10:45:00 AM	4/20/2004 10:45:00 AM		Alkalinity, total (mg/l CaCO3)	82.3	Wet Chemistry	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
