Year,HUC_8,NPDES_ID,Facility Name,Latitude,Longitude,Facility Type,Permit Type,Permit Effective Date,Permit Expiration Date,Major/Non-Major Indicator,Approved Pretreatment Program,County,Facility Design Flow (Permit Application) (MGD),Average Facility Flow (MGD),4-Digit SIC Code,Pollutant,Parameter Code,Total Pounds (lb/yr),Max Allowable Load (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),Max Allowable TWPE (lb-eq/yr),TWPE Over Limit,Contains Potential Outliers?,Number of Exceedances,QcReviewPounds,QcReviewTwpe
2019,11010001,MO0109096,"FOREST PARK SUBDIVISION WWTP, KIMBERLING CITY, 65686",36.617333,-93.442056,NON-POTW,NPDES Individual Permit,01/01/2019,12/31/2023,Non-Major,N/A,STONE,--,"1,250","8641 - CIVIC, SOCIAL & FRATERNAL ASS.",Ammonia as N,00610,"3,659,967","13,724,903",0,"4,063","15,235",0,Yes,0,"3,659,967","4,063"
2019,11010001,MO0109096,"FOREST PARK SUBDIVISION WWTP, KIMBERLING CITY, 65686",36.617333,-93.442056,NON-POTW,NPDES Individual Permit,01/01/2019,12/31/2023,Non-Major,N/A,STONE,--,"1,250","8641 - CIVIC, SOCIAL & FRATERNAL ASS.",Total Residual Chlorine,50060,0,"17,276",0,0,"8,638",0,No,0,0,0
2019,11010001,MO0109096,"FOREST PARK SUBDIVISION WWTP, KIMBERLING CITY, 65686",36.617333,-93.442056,NON-POTW,NPDES Individual Permit,01/01/2019,12/31/2023,Non-Major,N/A,STONE,--,"1,250","8641 - CIVIC, SOCIAL & FRATERNAL ASS.","Solids, total suspended",00530,"316,739","105,576,290",0,--,--,--,Yes,0,"316,739",--
2019,11010001,MO0109096,"FOREST PARK SUBDIVISION WWTP, KIMBERLING CITY, 65686",36.617333,-93.442056,NON-POTW,NPDES Individual Permit,01/01/2019,12/31/2023,Non-Major,N/A,STONE,--,"1,250","8641 - CIVIC, SOCIAL & FRATERNAL ASS.",Phosphorus,00665,"19,707,540",0,0,--,--,--,Yes,0,"19,707,540",--
2019,11010001,MO0109096,"FOREST PARK SUBDIVISION WWTP, KIMBERLING CITY, 65686",36.617333,-93.442056,NON-POTW,NPDES Individual Permit,01/01/2019,12/31/2023,Non-Major,N/A,STONE,--,"1,250","8641 - CIVIC, SOCIAL & FRATERNAL ASS.","BOD, 5-day, 20 deg. C",00310,"16,575,763","105,576,290",0,--,--,--,Yes,0,"16,575,763",--
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Aluminum,01104,"878,383",0,0,"52,703",0,0,Yes,0,"878,383","52,703"
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Ammonia as N,00610,"2,354,641","6,789,554","1,312","2,614","7,536",1.46,Yes,6,"2,354,641","2,614"
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,Oil and grease,00550,0,"12,433,294",0,0,--,--,Yes,0,0,0
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,"Solids, total suspended",00530,"8,314,290","71,759,797",0,--,--,--,Yes,0,"8,314,290",--
2019,11010001,MO0046931,"KIMBERLING CITY WWTP, KIMBERLING CITY, 65686-0370",36.627222,-93.423833,POTW,NPDES Individual Permit,04/01/2019,12/31/2023,Non-Major,No,STONE,--,853,4952 - SEWERAGE SYSTEMS,"BOD, 5-day, 20 deg. C",00310,"15,353,660","71,759,797",0,--,--,--,Yes,2,"15,353,660",--
